🏖️🚎｜港澳台,#genre#
韩Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
韩Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩BBS佛教,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
韩EBS-1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
韩EBS-1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩EBS-1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
韩EBS-2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
韩EBS-2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
韩EBS少儿,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩TJB SBS,http://1.245.74.5:1935/live/tv/.m3u8
韩国-EBS1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
韩国-EBS2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
韩国-EBSe,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
韩国-KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w1306745753.m3u8
韩国-KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国-KCTV,http://119.77.96.184:1935/chn21/chn21/playlist.m3u8
韩国-MBC综合频道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
韩国-NBS Korea Agricultural Broadc,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
韩职业,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
荷InsightTV,https://insighttv-samsung-canada.amagi.tv/playlist.m3u8
加CanadaOne,http://cdn8.live247stream.com/canadaone/tv/playlist.m3u8
日NHK,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
日NHK,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
日NHK,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
日NHK,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/global/2003458/live.m3u8
日QVC,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
日本购物1,http://stream1.shopch.jp/HLS/out1/prog_index.m3u8
日本购物1,https://stream3.shopch.jp/HLS/master.m3u8
乌M2,http://live.m2.tv/hls3/stream.m3u8
新CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新CNA,https://ytb.52sf.ga/live.m3u8?c=41
印NDTV,https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/masterp_480p@1.m3u8
印NDTV,https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/ndtv24x7master.m3u8
印Wion,http://210.210.155.35/uq2663/h/h91/index.m3u8
越HBTV,http://hoabinhtvlive.746b3ddb.cdnviet.com/hoabinhtv/playlist.m3u8
13_Siam_Thai_(1080p),https://live.x2.co.th/live/13livetv-th.m3u8
51_Radio_TV_(480p),http://wms.shared.streamshow.it/canale51/canale51/playlist.m3u8
70-80_TV_(1080P),https://585b674743bbb.streamlock.net/9050/9050/playlist.m3u8
88_Stereo_(720p)_[Not_24/7],http://k3.usastreams.com/CableLatino/88stereo/playlist.m3u8
92_News_HD_(720p),http://92news.vdn.dstreamone.net/92newshd/92hd/playlist.m3u8 
9XM_(480p),https://d2q8p4pe5spbak.cloudfront.net/bpk-tv/9XM/9XM.isml/index.m3u8
Activa_TV_(720p),https://streamtv.mediasector.es/hls/activatv/index.m3u8
Africa_24_(540p),https://edge12.vedge.infomaniak.com/livecast/ik:africa24/manifest.m3u8
Al Jazeera,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
Al_Eshraq_TV,http://63b03f7689049.streamlock.net:1935/live/19/playlist.m3u8
Al_Etejah_TV,http://63b03f7689049.streamlock.net:1935/live/33/playlist.m3u8
Al_Iraqia_News_(720p),https://cdn.catiacast.video/abr/78054972db7708422595bc96c6e024ac/playlist.m3u8
Al_Masar_TV_(576p),https://master.starmena-cloud.com/hls/almasar.m3u8
Al_Mashhad_(1080p),https://bcovlive-a.akamaihd.net/20c3ca22be3c4f03b30afbf3c92cfd14/ap-south-1/6313884884001/playlist.m3u8
Al_Nujaba,http://63b03f7689049.streamlock.net:1935/live/3/playlist.m3u8
Al_Sharqiya_News_(1080p),http://ns8.indexforce.com:1935/alsharqiyalive/mystream/playlist.m3u8
Al_Yaum_TV_(720p),https://alyaum-tv.akamaized.net/hls/alyaum-tv.m3u8
Alert_(576p)_[Not_24/7],https://itv.streams.ovh/ALEERT/ALEERT/playlist.m3u8 
ALWifak_News_TV_(720p),http://alwifaklive.info:1935/live/myStream/playlist.m3u8
Amedia_1,http://streaming.tv-teleport.ru/A1/index.m3u8
AMX_Noticias_(720p)_[Not_24/7],https://5e50264bd6766.streamlock.net/mexiquense2/videomexiquense2/playlist.m3u8
ANTv_(720p)_[Not_24/7],http://181.188.144.141/tmp_hls/ant_tv/index.m3u8
APA_TV_(720p),http://rtmp.apa.tv/@pagroup!23.m3u8
Arabica_TV_(720p),http://istream.binarywaves.com:8081/hls/arabica/playlist.m3u8
Area_809_El_Original_(1080p),https://samson.streamerr.co:8081/rudydurisimotv/index.m3u8
Asianet_News_Kannada_(360p)_[Not_24/7],https://vidcdn.vidgyor.com/suvarna-origin/liveabr/playlist.m3u8
Asianet_News_Tamil_(360p)_[Not_24/7],https://vidcdn.vidgyor.com/ptm-origin/aslive/playlist.m3u8
Astro_Awani_(720p),https://d2idp3hzkhjpih.cloudfront.net/out/v1/4b85d9c2bf97413eb0c9fd875599b837/index.m3u8
ATN_News_(720p)_[Not_24/7],https://d10rltuy0iweup.cloudfront.net/ATNNEWS/myStream/playlist.m3u8
AXS_TV_Now,https://dikcfc9915kp8.cloudfront.net/hls/1080p/playlist.m3u8
AZ_News_(720p),https://edge1.socialsmart.tv/aznews/smil/aznews/720p/chunks.m3u8 
Azerbaijan_News_TV_(720p)_[Not_24/7],https://edge1.socialsmart.tv/aznews/smil/playlist.m3u8
BackusTV_Music_(720p)_[Not_24/7],http://stream.backustv.ru/live/btv3/index.m3u8 
Balle_Balle_(720p),https://mcncdndigital.com/balleballetv/index.m3u8 
Bandamax,https://linear-400.frequency.stream/mt/studio/400/hls/master/playlist.m3u8
Baraza_TV_Deep_House_(720p),https://rtmp.streams.ovh:1936/barazarelax/barazazararelax/barazarelax/playlist.m3u8 
Baraza_TV_Relaxing_(720p),https://rtmp.streams.ovh:1936/barazarelax/barazarelax/playlist.m3u8
BBC_Arabic_(720p),https://vs-cmaf-pushb-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_arabic_tv/pc_hd_abr_v2.mpd
BBC_News_(720p),https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
BBC_News_(720p),https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
Bibel_TV_Musik_(720p),https://bibeltv03.iptv-playoutcenter.de/bibeltv03/bibeltv03.stream_1/playlist.m3u8  
Bridge_Rock_(1080p),https://strm.yandex.ru/kal/bridge_tv_fresh/bridge_tv_fresh0.m3u8
Busuioc_TV_(540p),https://busuioctv.iforward.eu/hls/busuioc.m3u8 
Cablenoticias_(1080p),https://5ea86ddd14ce7.streamlock.net/live/cable09061970/playlist.m3u8
Canal_1_Mar_Menor-Torre_Pacheco_(1080p),https://directo.tuwebtv.es/canal1.m3u8
Canal_24_Horas_Canarias_(720p),https://rtvelivestream.akamaized.net/rtvesec/can/24h_can_main_dvr.m3u8
Canal_33_Tijuana_(720p),https://5f2c1b0d880e5.streamlock.net/canal33tijuana/videocanal33tijuana/playlist.m3u8
CBC,https://edge02.odtv.az/o1/cbc/playlist.m3u8
CCTV+_1_(600p)_[Not_24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+_2_(600p)_[Not_24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV-13_(1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CD_News_(576p),https://5a1178b42cc03.streamlock.net/8174/8174/playlist.m3u8
CGTN_(576p),http://223.110.245.149/ott.js.chinamobile.com/PLTV/3/224/3221225917/index.m3u8
CGTN_Arabic_(576p)_[Not_24/7],https://news.cgtn.com/resource/live/arabic/cgtn-a.m3u8
CGTN_Français_(576p)_[Not_24/7],https://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN_Русский_(576p),https://news.cgtn.com/resource/live/russian/cgtn-r.m3u8
Channel_Y_(720p)_[Not_24/7],http://cdn19.live247stream.com/channely/tv/playlist.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNN Indonesia,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/playlist.m3u8
DeepHouse_District_(1080p),https://eu-nl-012.worldcast.tv/dancetelevisiontwo/dancetelevisiontwo.m3u8
Deutsches_Musik_Fernsehen_(1080p)_[Not_24/7],https://d-m-f.iptv-playoutcenter.de/dmf/dmf1/playlist.m3u8
Dotto_TV_(720p),https://dotto.edvr.ro/live/index.m3u8
DSTV_(614p)_[Not_24/7],http://46.249.95.140:8081/hls/data.m3u8
Dubai_One,http://dminnvll.cdn.mangomolo.com/dubaione/smil:dubaione.stream.smil/chunklist_b1800000.m3u8
Eagle_News_HD_(1080p),https://cdn2.skygo.mn/live/disk1/Eagle/HLS-FTA/Eagle.m3u8
Eagle_One_News_(576p),https://5a1178b42cc03.streamlock.net/8182/8182/playlist.m3u8
EBS_Musika_(720p),https://rpn.bozztv.com/ebstv/ebsmusika/index.m3u8
èTv_Marche_(720p),https://live.ipstream.it/etvmarche/etvmarche.stream/playlist.m3u8
èTv_Rete_7_(720p),https://live.ipstream.it/etv/etv.stream/playlist.m3u8
Euro_Indie_Music_Chart_TV_(360p),http://178.33.224.197:1935/euroindiemusic/euroindiemusic/playlist.m3u8
Euronews_Serbia_(1080p),https://d1ei8ofhgfmkac.cloudfront.net/app-19518-1306/ngrp:QoZfNjsg_all/playlist.m3u8
Euronews_по-русски,https://edge02.odtv.az/o1/euronews/playlist.m3u8
Exitosa_(720p),https://streamtv.onliv3.online:1936/exito-tv/exito-tv/playlist.m3u8
Famatv_(1080p)_[Not_24/7],https://streamer-a03.videos.sapo.pt/live/famatv/playlist.m3u8 
Fashion_TV,http://91.247.68.229:8000/play/Fashion/index.m3u8
FASTWAY_NEWS_(720p)_[Not_24/7],http://163.47.214.155:1935/fwnews/live/playlist.m3u8
Fight_Network,https://d12a2vxqkkh1bo.cloudfront.net/hls/1080p/playlist.m3u8
Folk_Klub_(720p),http://tv1.intv.mk:1935/live2/folkklub/index.m3u8
For_You_TV_(480p),https://stream.az-multimedia.com:3793/live/foryoutvlive.m3u8
Fox_News_Channel,http://247preview.foxnews.com/hls/live/2020027/fncv3preview/primary.m3u8
Fresh_News_(720p),http://streaming.freshnewsasia.com:1935/live/myStream/playlist.m3u8
Giornale_Radio_TV_(720p),https://5f204aff97bee.streamlock.net/GR_tv/livestream/playlist.m3u8 
GO-RTV_(720p),http://593aed234297b.streamlock.net:1935/gotvsjoerd/gotvsjoerd/playlist.m3u8
High_News_(480p),https://highmedia.livebox.co.in/HIGHNEWShls/LIVE.m3u8
High_Vision,https://streamer1.connectto.com/HIGHVISION_WEB_1205/tracks-v1a1/mono.m3u8
HLN_(720p),https://turnerlive.warnermediacdn.com/hls/live/586496/cnngo/hln/VIDEO_0_3564000.m3u8
HLN_Live_(720p),https://dpg-eventstreams.akamaized.net/hlnlivesrt-xmr/streamx/hlnlivesrt_720p.m3u8
HMI_PROMZ_NEWS_(720p),https://video1.getstreamhosting.com:1936/8326/8326/playlist.m3u8 
India_News_(576p)_[Not_24/7],https://livetv.newsx.com/itv/itvnetwork5/playlist.m3u8
India_News_Punjab/Himachal_(576p),https://livetv.newsx.com/itv/itvnetwork8/playlist.m3u8
India_News_Rajasthan_(1080p)_[Not_24/7],https://ythls.armelin.one/channel/UCgJ02VYByDODEIkOlxjg4xg.m3u8
India_News_Uttar_Pradesh_(576p),https://livetv.newsx.com/itv/itvnetwork3/playlist.m3u8
Indywood_TV_(720p),https://43wrzjnpqoxe-hls-live.wmncdn.net/indywood/indywoodtv/index.m3u8
INH_24x7_(360p),https://7epd6o8edk9b-hls-live.wmncdn.net/inh24/live.stream/playlist.m3u8
INTV_Australia_(720p),http://tv1.intv.mk:1935/live/intv/index.m3u8
Iran_International_(1080p),https://dev-live.livetvstream.co.uk/LS-63503-4/index.m3u8
Jamahiriya_TV_(480p)_[Not_24/7],https://master.starmena-cloud.com/hls/jam.m3u8
JooMusic_(720p),https://livecdn.live247stream.com/joomusic/tv/playlist.m3u8
JooMusic_(720p),https://livecdn.live247stream.com/joomusic/tv/playlist.m3u8
JRTV_Järviradio_(720p),https://streamer.radiotaajuus.fi/memfs/47f113bf-04ea-493b-a9d4-52945fd9db31.m3u8
K_News_India_(1080p),https://knews.livebox.co.in/youtubehls/live.m3u8
Kanal_S_(720p),https://cdn-kanals.yayin.com.tr/kanals/kanals/playlist.m3u8
Kanali_7_(576p),https://fe.tring.al/delta/105/out/u/1200_1.m3u8
KBC SBS,http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
Kiss_TV_(1080p),https://tv.broadcasting.ro/kisstv/a629c031-2170-4ee9-a36d-87a891aa3131.m3u8
Kuriakos_Music_(1080p),http://195.23.211.179:1935/kmusic/smil:kmusic.smil/playlist.m3u8
La_Top_107.7_(720p),https://59d39900ebfb8.streamlock.net/top107/top107/playlist.m3u8
L'altro_Corriere_TV_(720P),https://stream.cp.ets-sistemi.it:1936/laltrocorriere-tv/laltrocorriere-tv/playlist.m3u8
Like_TV,https://vdo.grupolimalive.com:3618/live/liketvlive.m3u8 
Love_TV_(1080p)_[Not_24/7],https://stream.nasatv.com.mk/lovetv/hls/lovetv_live.m3u8 
Magic_TV_(480p),https://itv.streams.ovh/magictv/magictv/playlist.m3u8
MBC_America_(480p),https://dacastmmd.mmdlive.lldns.net/dacastmmd/1c94dc9f1c08487a97995571800b9667/index.m3u8
Minformo_TV_(720p),https://5db313b643fd8.streamlock.net/MinformoTV/MinformoTV/playlist.m3u8
MNTV_Music_(1080p),https://mntv.livebox.co.in/musichls/live.m3u8 
Mosaïque_FM_(480p)_[Not_24/7],https://webcam.mosaiquefm.net:1936/mosatv/studio/playlist.m3u8 
News_24_Albania_(392p),http://tv.balkanweb.com:8081/news24/livestream/playlist.m3u8
NH_Niews_(1080p),https://takeoff.jetstre.am/?account=nhnieuws&file=live&output=playlist.m3u8&protocol=https&service=wowza&type=live 
Now_70's,https://lightning-now70s-samsungnz.amagi.tv/playlist.m3u8 
Now_80's,https://lightning-now80s-samsungnz.amagi.tv/playlist.m3u8
NOW_Rock,https://lightning-now90s-samsungnz.amagi.tv/playlist.m3u8 
Now_TV_102.3FM_Edmonton_(CKNO-FM),https://videostream.jpbgdigital.com/NOWTV.m3u8 
NRT_México_Internacional_(720p),https://59e88b197fb16.streamlock.net:4443/live/canal24/playlist.m3u8 
NRT_México_Región_Centro_(720p),https://59e88b197fb16.streamlock.net:4443/live/canal4/playlist.m3u8
NRT_México_Región_Sureste_(720p),https://59e88b197fb16.streamlock.net:4443/live/canal6/playlist.m3u8 
NTV_News24_(480p),https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
Observator_News_(720p),https://live1ag.antenaplay.ro/live_ObservatorNews/live_ObservatorNews.m3u8
Óčko_(540p),https://ocko-live-dash.ssl.cdn.cra.cz/cra_live2/ocko.stream.1.smil/playlist.m3u8
ON_FM_(720p),https://5ce9406b73c33.streamlock.net/ONFM/livestream/playlist.m3u8
Ondambiental_TV_(360p),https://stmv4.voxtvhd.com.br/ondastereo/ondastereo/playlist.m3u8
Palitra_News_(480p)_[Not_24/7],https://live.palitranews.ge/hls/palitratv/index.m3u8
Panik_TV_(1080p),https://livetv.streams.ovh:1936/paniktv/paniktv/playlist.m3u8
Panorama_TV_(720p)_[Not_24/7],http://198.244.188.94/panorama/livestream/playlist.m3u8
Play_TV_(480p)_[Not_24/7],http://web.onair-radio.eu:1935/Alpha-Host/Alpha-Host/playlist.m3u8
Ploiesti_TV_(1080p),https://v1.mediastreaming.ro/stream/hls/ploiestitv.m3u8
Power_Dance_(1080p),https://livetv.powerapp.com.tr/dance/dance.smil/playlist.m3u8 
Power_Love_(1080p),https://livetv.powerapp.com.tr/plove/love.smil/playlist.m3u8
Power_Türk_Akustik_(1080p),https://livetv.powerapp.com.tr/pturkakustik/akustik.smil/playlist.m3u8 
Power_Türk_Slow_(1080p),https://livetv.powerapp.com.tr/pturkslow/slow.smil/playlist.m3u8
Power_Türk_Taptaze_(1080p),https://livetv.powerapp.com.tr/pturktaptaze/taptaze.smil/playlist.m3u8
Pratham_Khabar_24x7_(576p),https://livelegitpro.in/hls2/newstime/index.m3u8
Press_TV_French_(1080p),https://live4.presstv.ir/live/smil:presstvfr.smil/playlist.m3u8
Profit_News_(404p),https://stream1.1616.ro:1945/profit/livestream/playlist.m3u8 
PTC_Dhol_(720p),https://streaming.ptcplay.com/ptcdholtvINOne/smil:Live.smil/playlist.m3u8
PTC_Music_(720p),https://streaming.ptcplay.com/ptcMusicINOne/smil:Live.smil/playlist.m3u8
Radio_El_Pueblo_(480p),https://tv.mediacp.eu:8081/radioelpueblo/index.m3u8
Radio_Fantástica_98.9_FM_(1080p),http://190.107.232.9:8082/livestream/stream.m3u8 
Radio_Imagen_105.1_FM_(720p)_[Not_24/7],https://streaming.imagenfm105-1.com/hls/stream.m3u8
Radio_Isla_TV_(720p),https://59a564764e2b6.streamlock.net/palestra/palestra/playlist.m3u8 
Radio_JND_(1080p),https://radiojnd.cdn.hostin.cc/radiojnd/playlist.m3u8 
Radio_Lola_(720p)_[Not_24/7],https://peer2.tdiradio.com/static/streaming-playlists/hls/7c3ea8d3-49dc-4e1b-8b1e-dc6fab71f5cf/0.m3u8
Radio_Monumental_TV_(720p)_[Not_24/7],https://cloud37.ecuatel.com/monumentaltv/live/manifest.m3u8
Radio_Piter_Pan_TV_(720p)_[Not_24/7],https://58d921499d3d3.streamlock.net/RadioPiterpanTV/livestream/playlist.m3u8  
Radio_PROS_(720p)_[Not_24/7],http://highvolume04.streampartner.nl/radiopros/livestream/playlist.m3u8
Radio_Télé_Hit_(480p),https://59d39900ebfb8.streamlock.net/RadioTelehit/RadioTelehit/playlist.m3u8
